Simulation_Number,T0,T1,Percentage_Change,Class
335,1,0.985878457,-0.0141,Volatility
336,1,1.00047325,0.0005,Volatility
337,1,1.017636868,0.0176,Volatility
338,1,0.983181274,-0.0168,Volatility
339,1,1.015821715,0.0158,Volatility
340,1,1.014649832,0.0146,Volatility
341,1,0.982130288,-0.0179,Volatility
342,1,0.987394619,-0.0126,Volatility
343,1,0.982527424,-0.0175,Volatility
344,1,1.004770093,0.0048,Volatility
345,1,1.012138376,0.0121,Volatility
346,1,0.979138103,-0.0209,Volatility
347,1,1.01257309,0.0126,Volatility
348,1,1.023151888,0.0232,Volatility
349,1,0.991062791,-0.0089,Volatility
350,1,0.992654687,-0.0073,Volatility
351,1,0.993603722,-0.0064,Volatility
352,1,1.008317864,0.0083,Volatility
353,1,1.008526343,0.0085,Volatility
354,1,0.995993544,-0.004,Volatility
355,1,0.999772146,-0.0002,Volatility
356,1,1.010882968,0.0109,Volatility
357,1,1.005916452,0.0059,Volatility
358,1,0.995939913,-0.0041,Volatility
359,1,0.994156851,-0.0058,Volatility
360,1,0.996564148,-0.0034,Volatility
361,1,1.00957667,0.0096,Volatility
362,1,0.994632658,-0.0054,Volatility
363,1,1.019328083,0.0193,Volatility
364,1,1.021785155,0.0218,Volatility
365,1,0.995940355,-0.0041,Volatility
366,1,1.010256655,0.0103,Volatility
367,1,1.0013454,0.0013,Volatility
368,1,1.006809636,0.0068,Volatility
369,1,1.017321606,0.0173,Volatility
370,1,0.999670643,-0.0003,Volatility
371,1,0.986247909,-0.0138,Volatility
372,1,1.016683785,0.0167,Volatility
373,1,0.998594606,-0.0014,Volatility
374,1,0.998220438,-0.0018,Volatility
375,1,0.999495582,-0.0005,Volatility
376,1,1.005289915,0.0053,Volatility
377,1,0.975890364,-0.0241,Volatility
378,1,1.005796555,0.0058,Volatility
379,1,0.992525813,-0.0075,Volatility
380,1,1.009218704,0.0092,Volatility
381,1,0.991605429,-0.0084,Volatility
382,1,0.992148332,-0.0079,Volatility
383,1,1.012496238,0.0125,Volatility
384,1,1.021336228,0.0213,Volatility
385,1,1.006337229,0.0063,Volatility
386,1,1.002838019,0.0028,Volatility
387,1,1.012266296,0.0123,Volatility
388,1,0.996562048,-0.0034,Volatility
389,1,0.990868426,-0.0091,Volatility
390,1,1.008117913,0.0081,Volatility
391,1,0.999972671,0,Volatility
392,1,0.989294325,-0.0107,Volatility
393,1,1.014251622,0.0143,Volatility
394,1,0.98223234,-0.0178,Volatility
395,1,0.989314097,-0.0107,Volatility
396,1,0.986778161,-0.0132,Volatility
397,1,1.008873086,0.0089,Volatility
398,1,0.98095132,-0.019,Volatility
399,1,1.019434951,0.0194,Volatility
400,1,1.011301259,0.0113,Volatility
401,1,0.998705131,-0.0013,Volatility
402,1,1.003109504,0.0031,Volatility
403,1,1.007284439,0.0073,Volatility
404,1,0.990333226,-0.0097,Volatility
405,1,0.992492702,-0.0075,Volatility
406,1,1.01395971,0.014,Volatility
407,1,1.003377223,0.0034,Volatility
408,1,0.99425258,-0.0057,Volatility
409,1,0.999093584,-0.0009,Volatility
410,1,0.990278245,-0.0097,Volatility
411,1,0.990643093,-0.0094,Volatility
412,1,0.985032251,-0.015,Volatility
413,1,0.990187649,-0.0098,Volatility
414,1,0.994283913,-0.0057,Volatility
415,1,0.996227757,-0.0038,Volatility
416,1,1.002745174,0.0027,Volatility
417,1,1.003572144,0.0036,Volatility
418,1,1.007476578,0.0075,Volatility
419,1,0.987232727,-0.0128,Volatility
420,1,1.003893022,0.0039,Volatility
421,1,0.989802521,-0.0102,Volatility
422,1,1.032725326,0.0327,Volatility
423,1,0.980482718,-0.0195,Volatility
424,1,0.992578457,-0.0074,Volatility
425,1,1.004031285,0.004,Volatility
426,1,0.983173535,-0.0168,Volatility
427,1,1.00060262,0.0006,Volatility
428,1,1.008617931,0.0086,Volatility
429,1,0.992493372,-0.0075,Volatility
430,1,0.994366241,-0.0056,Volatility
431,1,1.009695629,0.0097,Volatility
432,1,0.998643046,-0.0014,Volatility
433,1,1.01429682,0.0143,Volatility
434,1,1.003454112,0.0035,Volatility
435,1,1.000029958,0,Volatility
436,1,0.980259095,-0.0197,Volatility
437,1,0.996401419,-0.0036,Volatility
438,1,0.999223242,-0.0008,Volatility
439,1,1.004077925,0.0041,Volatility
440,1,1.008311617,0.0083,Volatility
441,1,1.006525776,0.0065,Volatility
442,1,1.01628176,0.0163,Volatility
443,1,1.011801611,0.0118,Volatility
444,1,1.009643226,0.0096,Volatility
445,1,1.01054881,0.0105,Volatility
446,1,1.00554573,0.0055,Volatility
447,1,1.001768819,0.0018,Volatility
448,1,1.01483254,0.0148,Volatility
449,1,1.00549772,0.0055,Volatility
450,1,1.015044602,0.015,Volatility
451,1,0.98362711,-0.0164,Volatility
452,1,1.01707391,0.0171,Volatility
453,1,0.9924968,-0.0075,Volatility
454,1,1.0013452,0.0013,Volatility
455,1,1.011721186,0.0117,Volatility
456,1,1.002186608,0.0022,Volatility
457,1,0.989199456,-0.0108,Volatility
458,1,1.010264625,0.0103,Volatility
459,1,0.985640222,-0.0144,Volatility
460,1,1.004818463,0.0048,Volatility
461,1,1.005181001,0.0052,Volatility
462,1,0.993531465,-0.0065,Volatility
463,1,0.999476327,-0.0005,Volatility
464,1,0.993525995,-0.0065,Volatility
465,1,0.992723575,-0.0073,Volatility
466,1,0.988361141,-0.0116,Volatility
467,1,0.988779303,-0.0112,Volatility
468,1,0.990654229,-0.0093,Volatility
469,1,1.019025567,0.019,Volatility
470,1,1.011184203,0.0112,Volatility
471,1,1.007394054,0.0074,Volatility
472,1,1.000413693,0.0004,Volatility
473,1,1.02115158,0.0212,Volatility
474,1,1.004562948,0.0046,Volatility
475,1,1.001392235,0.0014,Volatility
476,1,0.989167318,-0.0108,Volatility
477,1,0.987917049,-0.0121,Volatility
478,1,0.990937231,-0.0091,Volatility
479,1,1.005415689,0.0054,Volatility
480,1,0.983104386,-0.0169,Volatility
481,1,0.997087166,-0.0029,Volatility
482,1,0.989497187,-0.0105,Volatility
483,1,0.99147452,-0.0085,Volatility
484,1,0.994749649,-0.0053,Volatility
485,1,0.993641003,-0.0064,Volatility
486,1,0.982682013,-0.0173,Volatility
487,1,0.982361457,-0.0176,Volatility
488,1,1.000708625,0.0007,Volatility
489,1,0.987368571,-0.0126,Volatility
490,1,0.994912525,-0.0051,Volatility
491,1,1.020256342,0.0203,Volatility
492,1,1.003270866,0.0033,Volatility
493,1,0.996799627,-0.0032,Volatility
494,1,0.996719299,-0.0033,Volatility
495,1,0.997059134,-0.0029,Volatility
496,1,1.001095786,0.0011,Volatility
497,1,0.98500932,-0.015,Volatility
498,1,1.012017774,0.012,Volatility
499,1,1.000667651,0.0007,Volatility
500,1,0.999723736,-0.0003,Volatility
501,1,0.999380952,-0.0006,Volatility
502,1,0.993382167,-0.0066,Volatility
503,1,0.985973336,-0.014,Volatility
504,1,0.99595248,-0.004,Volatility
505,1,1.008009171,0.008,Volatility
506,1,1.004561857,0.0046,Volatility
507,1,0.984279673,-0.0157,Volatility
508,1,1.004239848,0.0042,Volatility
509,1,0.984295831,-0.0157,Volatility
510,1,1.00630094,0.0063,Volatility
511,1,0.993903842,-0.0061,Volatility
512,1,0.993538873,-0.0065,Volatility
513,1,1.003617446,0.0036,Volatility
514,1,1.01192219,0.0119,Volatility
515,1,1.00873599,0.0087,Volatility
516,1,1.014710003,0.0147,Volatility
517,1,1.007104931,0.0071,Volatility
518,1,0.983860313,-0.0161,Volatility
519,1,1.002578762,0.0026,Volatility
520,1,1.004630936,0.0046,Volatility
521,1,1.000622019,0.0006,Volatility
522,1,0.981157356,-0.0188,Volatility
523,1,0.99254916,-0.0075,Volatility
524,1,1.006544424,0.0065,Volatility
525,1,0.986701632,-0.0133,Volatility
526,1,1.002901417,0.0029,Volatility
527,1,0.992440454,-0.0076,Volatility
528,1,1.005740068,0.0057,Volatility
529,1,1.012132545,0.0121,Volatility
530,1,1.00886301,0.0089,Volatility
531,1,0.988442495,-0.0116,Volatility
532,1,1.000512475,0.0005,Volatility
533,1,1.005099585,0.0051,Volatility
534,1,0.996513263,-0.0035,Volatility
535,1,1.001675928,0.0017,Volatility
536,1,0.997314473,-0.0027,Volatility
537,1,0.997429244,-0.0026,Volatility
538,1,1.008890044,0.0089,Volatility
539,1,0.99873018,-0.0013,Volatility
540,1,0.999949897,-0.0001,Volatility
541,1,0.990215617,-0.0098,Volatility
542,1,1.012848068,0.0128,Volatility
543,1,0.998382598,-0.0016,Volatility
544,1,1.024324264,0.0243,Volatility
545,1,1.007726656,0.0077,Volatility
546,1,0.988844171,-0.0112,Volatility
547,1,1.013072402,0.0131,Volatility
548,1,1.004260507,0.0043,Volatility
549,1,0.996403554,-0.0036,Volatility
550,1,1.00166635,0.0017,Volatility
551,1,1.005292268,0.0053,Volatility
552,1,1.021253203,0.0213,Volatility
553,1,1.011132234,0.0111,Volatility
554,1,1.002387153,0.0024,Volatility
555,1,0.989892558,-0.0101,Volatility
556,1,0.989192157,-0.0108,Volatility
557,1,0.981077716,-0.0189,Volatility
558,1,1.018067234,0.0181,Volatility
559,1,0.9960924,-0.0039,Volatility
560,1,0.986877441,-0.0131,Volatility
561,1,0.979320623,-0.0207,Volatility
562,1,0.988204828,-0.0118,Volatility
563,1,1.015272336,0.0153,Volatility
564,1,1.026500728,0.0265,Volatility
565,1,0.995981929,-0.004,Volatility
566,1,0.991778711,-0.0082,Volatility
567,1,0.984499095,-0.0155,Volatility
568,1,1.009442321,0.0094,Volatility
569,1,1.003819826,0.0038,Volatility
570,1,0.977154315,-0.0228,Volatility
571,1,0.988219928,-0.0118,Volatility
572,1,0.993341063,-0.0067,Volatility
573,1,1.010973121,0.011,Volatility
574,1,1.001326229,0.0013,Volatility
575,1,1.014335789,0.0143,Volatility
576,1,1.008278546,0.0083,Volatility
577,1,0.986494468,-0.0135,Volatility
