Date,Trading_Hrs_Return,Total_Return,Difference,Class_,New_Date
25/03/2020,4.1089,7.7729,3.6641,Delta_Airlines,2020-03-25
26/03/2020,-2.3618,-6.7583,-4.3965,Delta_Airlines,2020-03-26
27/03/2020,-1.9974,-7.7055,-5.7081,Delta_Airlines,2020-03-27
30/03/2020,3.2899,3.4864,0.1965,Delta_Airlines,2020-03-30
31/03/2020,-0.6944,-9.504,-8.8096,Delta_Airlines,2020-03-31
01/04/2020,-8.4191,-8.9795,-0.5604,Delta_Airlines,2020-04-01
02/04/2020,-4.3431,-3.5505,0.7926,Delta_Airlines,2020-04-02
03/04/2020,-1.5794,-4.1538,-2.5744,Delta_Airlines,2020-04-03
06/04/2020,2.0509,11.8299,9.779,Delta_Airlines,2020-04-06
07/04/2020,-8.7568,-7.5769,1.1799,Delta_Airlines,2020-04-07
08/04/2020,2.7771,8.9377,6.1606,Delta_Airlines,2020-04-08
09/04/2020,-0.9722,-0.0281,0.9441,Delta_Airlines,2020-04-09
13/04/2020,-5.7341,-3.8984,1.8357,Delta_Airlines,2020-04-13
14/04/2020,3.5808,3.4167,-0.1641,Delta_Airlines,2020-04-14
15/04/2020,-0.5684,-4.3916,-3.8232,Delta_Airlines,2020-04-15
16/04/2020,-2.8404,2.0852,4.9256,Delta_Airlines,2020-04-16
17/04/2020,1.5022,-3.9195,-5.4216,Delta_Airlines,2020-04-17
20/04/2020,3.0688,-0.9746,-4.0433,Delta_Airlines,2020-04-20
21/04/2020,1.519,3.9148,2.3958,Delta_Airlines,2020-04-21
22/04/2020,-4.6081,-4.815,-0.2069,Delta_Airlines,2020-04-22
23/04/2020,-0.0538,-0.4667,-0.4128,Delta_Airlines,2020-04-23
24/04/2020,0.1333,0.69,0.5567,Delta_Airlines,2020-04-24
27/04/2020,-1.7153,0.6985,2.4138,Delta_Airlines,2020-04-27
28/04/2020,7.2963,12.0883,4.792,Delta_Airlines,2020-04-28
29/04/2020,7.3091,2.3585,-4.9505,Delta_Airlines,2020-04-29
30/04/2020,-0.3057,-5.7338,-5.4281,Delta_Airlines,2020-04-30
01/05/2020,-3.8711,-15.1702,-11.2991,Delta_Airlines,2020-05-01
04/05/2020,6.3576,10.1992,3.8417,Delta_Airlines,2020-05-04
05/05/2020,-7.1811,-6.1572,1.0239,Delta_Airlines,2020-05-05
06/05/2020,-4.1955,-3.1082,1.0873,Delta_Airlines,2020-05-06
07/05/2020,1.5275,6.1643,4.6368,Delta_Airlines,2020-05-07
08/05/2020,0.4293,-1.6494,-2.0787,Delta_Airlines,2020-05-08
11/05/2020,-0.9235,0.4908,1.4144,Delta_Airlines,2020-05-11
12/05/2020,-5.7237,-5.5809,0.1427,Delta_Airlines,2020-05-12
13/05/2020,-8.023,-10.7343,-2.7113,Delta_Airlines,2020-05-13
